angle_index,angle_rad,median,q25,q75,p05,p95,mean,n_rows,family,seed,checkpoint_sha256,stride,grid,statistic
43,-2.0862138271331787,3.7292693853378296,2.947829246520996,5.072334885597229,2.491480827331543,6.669210386276246,4.0735351311505115,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
44,-2.0616703033447266,3.7035244703292847,3.082183003425598,4.968160390853882,2.529825758934021,6.643397641181946,4.081610100542505,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
45,-2.0371265411376953,3.6820425987243652,3.2145463824272156,4.802143335342407,2.5096956491470337,6.5639895677566535,4.074336458572221,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
46,-2.012582778930664,3.6882351636886597,3.355813145637512,4.596492052078247,2.425088846683502,6.4394637823104866,4.06087366030586,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
47,-1.9880391359329224,3.731580138206482,3.521866500377655,4.382622003555298,2.332994484901428,6.275825262069702,4.052045395931022,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
48,-1.9634954929351807,3.8337596654891968,3.6837841272354126,4.257086992263794,2.2414148092269897,6.066846942901611,4.059089866393694,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
49,-1.9389517307281494,3.983699917793274,3.803517997264862,4.354309797286987,2.1692420721054075,5.832785725593569,4.09269582669975,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
50,-1.9144080877304077,4.145123243331909,3.8772814869880676,4.615809202194214,2.1076159834861756,5.612939453125,4.1617396628629,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
51,-1.889864444732666,4.3274006843566895,3.893800735473633,4.876813054084778,2.0741708159446715,5.7041833162307745,4.271128182795451,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
52,-1.8653206825256348,4.50757360458374,3.9074498414993286,5.0965776443481445,2.061359667778015,6.068471622467041,4.419618701781664,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
53,-1.840777039527893,4.67055869102478,3.9250036478042603,5.35773491859436,2.078403556346893,6.540386986732483,4.5997142398412585,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
54,-1.8162332773208618,4.842211484909058,3.9587814807891846,5.652278780937195,2.096869480609894,7.099537014961243,4.800082940841438,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
55,-1.7916896343231201,5.0254693031311035,4.012511134147644,5.955226898193359,2.1249183058738708,7.6593454599380495,5.008246830056111,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
56,-1.7671458721160889,5.199059009552002,4.08422315120697,6.254579305648804,2.128502798080444,8.197068214416506,5.212030955303322,86400,reported,42,5f262c4ed6762b56fd7c67fc65428e840c97f87bb8c6689097135e39944093f4,1,"Z1: 257 angles uniform on [-pi, pi], unit circle","P_X v_N(z) - u_T(z), L2 over the T horizons, quantiles over rows"
